,date,price,Returns
0,2018-01-02,1.0,
1,2018-01-03,1.007463959,0.0074639590000000755
2,2018-01-04,1.004797422,-0.0026467815311694842
3,2018-01-05,1.008367519,0.003553051512506844
4,2018-01-08,1.013282405,0.004874101860077751
5,2018-01-09,1.0159626590000002,0.00264512043905496
6,2018-01-10,1.010785992,-0.005095331953534066
7,2018-01-11,1.0106214575,-0.00016277876949433168
8,2018-01-12,1.010456923,-0.00016280527073619933
9,2018-01-15,1.0102923885,-0.00016283178060827463
10,2018-01-16,1.010127854,-0.00016285829911488747
11,2018-01-17,1.0117868275,0.0016423401190557296
12,2018-01-18,1.013445801,0.0016396472605788581
13,2018-01-19,1.017305972,0.003808956528499996
14,2018-01-22,1.022672524,0.005275258523696369
15,2018-01-23,1.024106525,0.0014022093743080166
16,2018-01-24,1.02092419,-0.003107425763155036
17,2018-01-25,1.017053454,-0.003791403943518956
18,2018-01-26,1.0226806590000002,0.005532850783671828
19,2018-01-29,1.014260095,-0.008233815635306896
20,2018-01-30,1.002819664,-0.011279583073807165
21,2018-01-31,1.00463634,0.0018115679869636914
22,2018-02-01,0.9954147959999999,-0.009178987094972224
23,2018-02-02,0.976377522,-0.019124965870006894
24,2018-02-05,0.9720582335000001,-0.0044237893669984985
25,2018-02-06,0.967738945,-0.004443446237215709
26,2018-02-07,0.9655811390000001,-0.0022297397569340793
27,2018-02-08,0.9445097490000001,-0.021822495437123557
28,2018-02-09,0.9482509859999999,0.003961035874919139
29,2018-02-12,0.95856826,0.010880319822836437
30,2018-02-13,0.958925172,0.0003723386376262017
31,2018-02-14,0.965814698,0.007184633588907419
32,2018-02-15,0.975073405,0.009586421721654137
33,2018-02-16,0.9743547796666666,-0.0007369961375711664
34,2018-02-20,0.9736361543333334,-0.0007375397014822704
35,2018-02-21,0.9729175290000001,-0.0007380840677854161
36,2018-02-22,0.9728560890000001,-6.315026522663025e-05
37,2018-02-23,0.9798139765,0.007152021330464109
38,2018-02-26,0.986771864,0.007101233159435338
39,2018-02-27,0.980202514,-0.006657415193589311
40,2018-02-28,0.9741701775,-0.006154173667014318
41,2018-03-01,0.9681378409999999,-0.006192282046121322
42,2018-03-02,0.9736582149999999,0.005702053742985713
43,2018-03-05,0.9791785890000001,0.005669724668219578
44,2018-03-06,0.981096813,0.001959013423648237
45,2018-03-07,0.978885155,-0.002254270904455624
46,2018-03-08,0.9817433790000001,0.002919876744887473
47,2018-03-09,0.988052119,0.006426058107390498
48,2018-03-12,0.989321604,0.0012848360684503124
49,2018-03-13,0.987573851,-0.0017666176427701963
50,2018-03-14,0.985846984,-0.0017485953058106185
51,2018-03-15,0.986186907,0.00034480300241002126
52,2018-03-16,0.9863073170000001,0.00012209653073402826
53,2018-03-19,0.979725085,-0.006673611648771782
54,2018-03-20,0.9805238629999999,0.0008153083066153588
55,2018-03-21,0.980775605,0.00025674234916617245
56,2018-03-22,0.964311307,-0.016787018270096543
57,2018-03-23,0.952928297,-0.011804289670119927
58,2018-03-26,0.96330683,0.010891200348099206
59,2018-03-27,0.9591771014999999,-0.004287033343259972
60,2018-03-28,0.955047373,-0.004305491127281624
61,2018-03-29,0.964996321,0.010417229847717646
62,2018-04-02,0.952588792,-0.012857592023918119
63,2018-04-03,0.9542021155,0.0016936200735815365
64,2018-04-04,0.9558154390000001,0.001690756574307839
65,2018-04-05,0.965517044,0.010150081913460118
66,2018-04-06,0.9532198959999999,-0.01273633446081368
67,2018-04-09,0.9534547459999999,0.00024637547011496785
68,2018-04-10,0.9561734494999999,0.0028514237423493682
69,2018-04-11,0.958892153,0.0028433162429073455
70,2018-04-12,0.961768999,0.003000176809247579
71,2018-04-13,0.963486974,0.001786265726787084
72,2018-04-16,0.968680222,0.005390055226631496
73,2018-04-17,0.972645622,0.004093610987341956
74,2018-04-18,0.977032619,0.004510375516808773
75,2018-04-19,0.9722773709999999,-0.00486703095426555
76,2018-04-20,0.968889895,-0.003484063396966497
77,2018-04-23,0.969897502,0.0010399602732982238
78,2018-04-24,0.9629940140000001,-0.00711775005685078
79,2018-04-25,0.962433641,-0.000581907043920693
80,2018-04-26,1.042453768,0.08314352656756308
81,2018-04-27,1.0432106881666665,0.0007260947102898374
82,2018-04-30,1.0439676083333334,0.0007255678792910114
83,2018-05-01,1.0447245285,0.0007250418122406455
84,2018-05-02,1.0454814486666666,0.0007245165074791782
85,2018-05-03,0.966975162,-0.07509103749931478
86,2018-05-04,0.975776265,0.009101684661472209
87,2018-05-07,0.9788636079999999,0.0031639865722701277
88,2018-05-08,0.9802580740000001,0.00142457640533733
89,2018-05-09,0.98518423,0.005025366411824939
90,2018-05-10,0.9901103859999999,0.005000238381809963
91,2018-05-11,0.9934548259999999,0.0033778455890269843
92,2018-05-14,0.9965475890000001,0.0031131390366814227
93,2018-05-15,0.99361332,-0.0029444343977034215
94,2018-05-16,0.994403995,0.0007957572468935137
95,2018-05-17,0.9930859240000001,-0.0013254884399372946
96,2018-05-18,0.9954166999999999,0.0023470033596004747
97,2018-05-22,0.9958819678999999,0.00046741018108287236
98,2018-05-23,0.9963472358,0.000467191810874068
99,2018-05-24,0.9968125037,0.00046697364461145696
100,2018-05-25,0.9972777716,0.0004667556820094898
101,2018-05-28,0.9977430395,0.0004665379227830613
102,2018-05-29,0.9982083074000001,0.0004663203666479543
103,2018-05-30,0.9986735753000001,0.0004661030133197297
104,2018-05-31,0.9991388432000001,0.0004658858625155027
105,2018-06-01,0.9996041111000001,0.0004656689139517223
106,2018-06-04,1.0000693790000001,0.0004654521673466139
107,2018-06-05,1.003487794,0.0034181778502386795
108,2018-06-06,1.009521715,0.00601294907230332
109,2018-06-07,1.00878791,-0.0007268838194333105
110,2018-06-08,1.0092416229999999,0.0004497605448106068
111,2018-06-11,1.010824688,0.0015685688777822282
112,2018-06-12,1.011617974,0.0007847908835403317
113,2018-06-13,1.0099369759999999,-0.001661692499742129
114,2018-06-14,1.011675057,0.0017209796663588683
115,2018-06-15,1.013413138,0.0017180229837376881
116,2018-06-18,1.015151219,0.001715076442989627
117,2018-06-19,1.012900781,-0.0022168500198590513
118,2018-06-20,1.0183770540000001,0.005406524610034991
119,2018-06-21,1.0184003415,2.286726699951558e-05
120,2018-06-22,1.0184236290000002,2.2866744099792058e-05
121,2018-06-25,1.006487665,-0.011720038361364482
122,2018-06-26,1.009405993,0.0028995169056540426
123,2018-06-27,1.007304441,-0.0020819690140276848
124,2018-06-28,1.005202889,-0.0020863126523236186
125,2018-06-29,1.007322536,0.0021086757939072776
126,2018-07-03,1.009442183,0.002104238636829292
127,2018-07-04,1.01156183,0.0020998201142146122
128,2018-07-05,1.010704847,-0.0008471879568646701
129,2018-07-06,1.015736495,0.004978355466420448
130,2018-07-09,1.020768143,0.004953694215742432
131,2018-07-10,1.024426122,0.0035835552128902215
132,2018-07-11,1.01991837,-0.004400270456984545
133,2018-07-12,1.027009578,0.006952721128064221
134,2018-07-13,1.025198957,-0.0017630030320904266
135,2018-07-16,1.021419844,-0.003686223999933347
136,2018-07-17,1.022255208,0.0008178458690686341
137,2018-07-18,1.023090572,0.0008171775437901818
138,2018-07-19,1.0221650740000001,-0.0009046100368129695
139,2018-07-20,1.0212395760000001,-0.0009054290970618162
140,2018-07-23,1.020314078,-0.0009062496418570376
141,2018-07-24,1.01938858,-0.0009070716752376251
142,2018-07-25,1.0208014109999999,0.0013859592188092407
143,2018-07-26,1.022214242,0.0013840409944341214
144,2018-07-27,1.0197796675,-0.0023816675604486637
145,2018-07-30,1.0173450929999999,-0.00238735344269847
146,2018-07-31,1.022152716,0.004725656056218996
147,2018-08-01,1.020844461,-0.0012799017011073666
148,2018-08-02,1.023837706,0.0029321264054935625
149,2018-08-03,1.026932062,0.0030223110380347418
150,2018-08-07,1.023920768,-0.0029323205608512426
151,2018-08-08,1.025686435,0.001724417606499662
152,2018-08-09,1.02386423,-0.001776571218863654
153,2018-08-10,1.022042025,-0.0017797330413623635
154,2018-08-13,1.02021982,-0.0017829061383262124
155,2018-08-14,1.02468331,0.004375027726867486
156,2018-08-15,1.022313745,-0.0023124852106745086
157,2018-08-16,1.027850731,0.005416131815776382
158,2018-08-17,1.03068560025,0.0027580553912160966
159,2018-08-20,1.0335204695,0.002750469444137371
160,2018-08-21,1.03635533875,0.0027429251124280185
161,2018-08-22,1.039190208,0.002735422054581438
162,2018-08-23,1.0381200940000002,-0.0010297575860143127
163,2018-08-24,1.043934615,0.005601009973321913
164,2018-08-27,1.049749136,0.005569813392958478
165,2018-08-28,1.050322494,0.0005461857317499152
166,2018-08-29,1.050895852,0.0005458875757449189
167,2018-08-30,1.047935601,-0.0028168833232772306
168,2018-08-31,1.047196032,-0.0007057389779432377
169,2018-09-04,1.045828033,-0.0013063447131166361
170,2018-09-05,1.046141298,0.0002995377730516946
171,2018-09-06,1.046184812,4.159476361653702e-05
172,2018-09-07,1.046228326,4.1593033564435444e-05
173,2018-09-10,1.04627184,4.159130365577468e-05
174,2018-09-11,1.0506232340000001,0.004158951654476439
175,2018-09-12,1.050696605,6.983569144991542e-05
176,2018-09-13,1.046740953,-0.003764789931913759
177,2018-09-14,1.0493573145,0.002499531037265079
178,2018-09-17,1.051973676,0.002493298959131751
179,2018-09-18,1.057933831,0.005665688349410614
180,2018-09-19,1.05423111,-0.003499955187651116
181,2018-09-20,1.061769342,0.007150454894088831
182,2018-09-21,1.0596474495,-0.001998449584166062
183,2018-09-24,1.057525557,-0.0020024513822981538
184,2018-09-25,1.055821663,-0.0016112083426462753
185,2018-09-26,1.052358254,-0.0032802973469581165
186,2018-09-27,1.054159213,0.0017113554183230129
187,2018-09-28,1.051542315,-0.00248245043796802
188,2018-10-01,1.050125097,-0.001347751754526394
189,2018-10-02,1.048707879,-0.0013495706407253838
190,2018-10-03,1.0508886,0.00207943607907235
191,2018-10-04,1.043902945,-0.006647379179867463
192,2018-10-05,1.0408328999999998,-0.0029409295324864804
193,2018-10-09,1.037762855,-0.0029496041103234116
